entity,dateOfBirth,nationality,almaMater,awards,workPlaces
Wayne Hendrickson,['1941-04-25'],"['New York City', 'B.A.', 'B.A.']","['University', 'Columbia', 'Columbia University', 'the Department of Biochemistry and Molecular Biophysics', 'the Photon Sciences Directorate', 'Brookhaven National Laboratory', 'the New York Structural Biology Center', 'Hendrickson', 'the University of Wisconsin at', 'Johns Hopkins University', 'Warner Love', 'the Naval Research Laboratory', 'NRL', 'Hendrickson', 'the Royal Swedish Academy of Sciences', 'the Gairdner International Award', 'the American Academy of Arts and Sciences', 'the National Academy of Sciences', 'the Faculty of Science and Technology', 'Uppsala University', 'Hendrickson', 'University of Wisconsin-River Falls', 'Johns Hopkins University', 'the National Academy of Sciences', 'Gairdner Foundation International Award']",[],"['University', 'Columbia', 'Columbia University', 'the Department of Biochemistry and Molecular Biophysics', 'the Photon Sciences Directorate', 'Brookhaven National Laboratory', 'the New York Structural Biology Center', 'Hendrickson', 'the University of Wisconsin at', 'Johns Hopkins University', 'Warner Love', 'the Naval Research Laboratory', 'NRL', 'Hendrickson', 'the Royal Swedish Academy of Sciences', 'the Gairdner International Award', 'the American Academy of Arts and Sciences', 'the National Academy of Sciences', 'the Faculty of Science and Technology', 'Uppsala University', 'Hendrickson', 'University of Wisconsin-River Falls', 'Johns Hopkins University', 'the National Academy of Sciences', 'Gairdner Foundation International Award']"
Eshel Ben-Jacob,['1952-04-13'],[],"['Tel Aviv University', 'the Maguy-Glass Chair in Physics of Complex Systems', 'Fellow of the Center for Theoretical Biological Physics', 'CTBP', 'Rice University']",[],"['Tel Aviv University', 'the Maguy-Glass Chair in Physics of Complex Systems', 'Fellow of the Center for Theoretical Biological Physics', 'CTBP', 'Rice University']"
Henry Fuchs,['1948-01-20'],"['Tokaj', 'Hungary', 'Dallas']","['the American Academy of Arts and Sciences', 'the Association for Computing Machinery', 'ACM', 'the University of North Carolina at', 'UNC', 'the University of Texas', 'the National Academy of Engineering', 'NAE', 'the ACM SIGGRAPH Achievement Award', 'the National Computer Graphics Association', 'NCGA', 'the Steven Anson Coons Award for Outstanding Creative Contributions to Computer Graphics']",[],"['the American Academy of Arts and Sciences', 'the Association for Computing Machinery', 'ACM', 'the University of North Carolina at', 'UNC', 'the University of Texas', 'the National Academy of Engineering', 'NAE', 'the ACM SIGGRAPH Achievement Award', 'the National Computer Graphics Association', 'NCGA', 'the Steven Anson Coons Award for Outstanding Creative Contributions to Computer Graphics']"
Markus Aspelmeyer,['1974-05-30'],['Schongau'],"['the University of Munich', 'the University of Vienna', 'a Feodor Lynen PostDoctoral Fellowship of the Alexander von Humboldt Foundation', 'the Institute for Quantum Optics', 'Quantum Information', 'the Austrian Academy of Sciences', 'quantum', 'quantum optics', 'the University of Oxford', 'the University of Calgary', 'the University of Vienna', 'Quantum Information', 'the University of Vienna', 'quantum optics', 'quantum information', 'quantum', 'the European Physical Society', 'the Austrian Academy of Sciences', 'Crystalline Mirror Solutions']",[],"['the University of Munich', 'the University of Vienna', 'a Feodor Lynen PostDoctoral Fellowship of the Alexander von Humboldt Foundation', 'the Institute for Quantum Optics', 'Quantum Information', 'the Austrian Academy of Sciences', 'quantum', 'quantum optics', 'the University of Oxford', 'the University of Calgary', 'the University of Vienna', 'Quantum Information', 'the University of Vienna', 'quantum optics', 'quantum information', 'quantum', 'the European Physical Society', 'the Austrian Academy of Sciences', 'Crystalline Mirror Solutions']"
Robert V. Hogg,['1924-11-08'],[],['the University of Iowa'],[],['the University of Iowa']
Sujatha Ramdorai,['2006-05-30'],"['TIFR', 'Mumbai', 'Canada', 'Gonit Sora']","['the University of British Columbia', 'Ramdorai', 'ICTP', 'the Shanti Swarup Bhatnagar Award', 'the National Knowledge Commission', 'the Prime Minister’s Scientific Advisory Council', 'the National Innovation Council']",[],"['the University of British Columbia', 'Ramdorai', 'ICTP', 'the Shanti Swarup Bhatnagar Award', 'the National Knowledge Commission', 'the Prime Minister’s Scientific Advisory Council', 'the National Innovation Council']"
Michael Burrows,[],['Cambridge'],"['Electronic Engineering with Computer Science at University College London', 'the Computer Laboratory', 'University of Cambridge', 'Churchill College']",[],"['Electronic Engineering with Computer Science at University College London', 'the Computer Laboratory', 'University of Cambridge', 'Churchill College']"
Max Born,['1882-12-11'],"['Breslau', 'Germany', 'Poland', 'Berlin', 'Germany', 'Britain', 'Cambridge', 'Edinburgh', 'West Germany']","['quantum', 'Quantum Mechanics', 'the University of Göttingen', ""the University's Philosophy Faculty Prize"", 'Thomson', 'Göttingen', 'quantum', 'Schrödinger', 'Friedrich Hund', 'Göttingen', 'Enrico Fermi', 'Friedrich Hund', 'the Nazi Party', ""St John's College"", 'Atomic Physics', 'the University of Edinburgh', 'Göttingen']",[],"['quantum', 'Quantum Mechanics', 'the University of Göttingen', ""the University's Philosophy Faculty Prize"", 'Thomson', 'Göttingen', 'quantum', 'Schrödinger', 'Friedrich Hund', 'Göttingen', 'Enrico Fermi', 'Friedrich Hund', 'the Nazi Party', ""St John's College"", 'Atomic Physics', 'the University of Edinburgh', 'Göttingen']"
Anthony James Leggett,['1938-03-26'],[],"['KBE FRS', 'the University of Illinois at Urbana-Champaign', 'quantum']",[],"['KBE FRS', 'the University of Illinois at Urbana-Champaign', 'quantum']"
Leon Isserlis,['1881-06-30'],"['Kiev', 'Britain', 'the City of London School', 'Cambridge', 'Cambridge']","['Chebyshev and Chuprov', ""Christ's College"", 'the University of East London', 'University College London', 'the Chamber of Shipping', ""the Journal of the Royal Statistical Society of R. A. Fisher's"", 'Fisher', 'Chebyshev', 'the Medical Research Council', 'the Jewish Health Organization', 'the Royal Statistical Society']",[],"['Chebyshev and Chuprov', ""Christ's College"", 'the University of East London', 'University College London', 'the Chamber of Shipping', ""the Journal of the Royal Statistical Society of R. A. Fisher's"", 'Fisher', 'Chebyshev', 'the Medical Research Council', 'the Jewish Health Organization', 'the Royal Statistical Society']"
Kurt Mendelssohn,['1906-01-07'],"['Leaving Germany', 'England', 'Oxford', 'Egypt', 'Mexico', 'Egypt', 'Egypt']","['the University of Berlin', 'the University of Oxford', 'Wolfson College', 'Professorial Fellow', ""the Royal Society's""]",[],"['the University of Berlin', 'the University of Oxford', 'Wolfson College', 'Professorial Fellow', ""the Royal Society's""]"
Erna Schneider Hoover,['1926-06-19'],[],"['Bell Laboratories', 'the National Inventors Hall of Fame']",[],"['Bell Laboratories', 'the National Inventors Hall of Fame']"
Ioannis Liritzis,['1953-11-02'],"['Liritzis', 'Liritzis', 'Liritzis']","['Ιωάννης Λυριντζής', 'the University of Patras', 'the University of Edinburgh', 'the University of Oxford', 'Université Bordeaux III', 'University of Edinburgh', 'the Academy of Athens', 'the University of the Aegean', 'the Laboratory of Archaeometry', 'the Department of Mediterranean Studies', 'the University of the Aegean', 'the Senate of University of the Aegean', 'the Executive Committee', 'the Greek Ministry of Culture', 'the Academy of Athens', 'Nature', 'SIMS', 'SIMS', 'the Discovery Channel', ""Membre Correspondant de l' Académie des Sciences"", 'the European Academy of Sciences and Arts He', 'the University of Peloponesse']",[],"['Ιωάννης Λυριντζής', 'the University of Patras', 'the University of Edinburgh', 'the University of Oxford', 'Université Bordeaux III', 'University of Edinburgh', 'the Academy of Athens', 'the University of the Aegean', 'the Laboratory of Archaeometry', 'the Department of Mediterranean Studies', 'the University of the Aegean', 'the Senate of University of the Aegean', 'the Executive Committee', 'the Greek Ministry of Culture', 'the Academy of Athens', 'Nature', 'SIMS', 'SIMS', 'the Discovery Channel', ""Membre Correspondant de l' Académie des Sciences"", 'the European Academy of Sciences and Arts He', 'the University of Peloponesse']"
Emanuel Derman,['2022-05-21'],['U.S.'],"['Black–Derman–Toy', 'Columbia University', 'KKR Prisma Capital Partners', ""Business Week's""]",[],"['Black–Derman–Toy', 'Columbia University', 'KKR Prisma Capital Partners', ""Business Week's""]"
Daniel Wolpert,['1963-09-08'],[],"['the University of Cambridge', 'the Royal Society Noreen Murray Research Professorship']",[],"['the University of Cambridge', 'the Royal Society Noreen Murray Research Professorship']"
Artur Avila,['1979-06-29'],['Cordeiro'],[],[],[]
Sten Grillner,['1941-06-14'],"['Stockholm', 'Stockholm', 'Gothenburg', 'Sweden', 'MD', 'US', 'US']","[""the Karolinska Institute's"", 'Nobel Institute for Neurophysiology', 'International Brain Research Organization', 'the Federation of European Neuroscience Societies', 'FENS', 'the Nobel Institute for Neurophysiology', 'the Karolinska Institute', 'the Academia Europaeae', 'Royal Swedish Academy of Science', 'National Academy of Science', 'Institute of Medicine', 'the Nobel Assembly', 'Karolinska Institutet', 'the Bristol Myers Squibb', 'Society for Neuroscience']",[],"[""the Karolinska Institute's"", 'Nobel Institute for Neurophysiology', 'International Brain Research Organization', 'the Federation of European Neuroscience Societies', 'FENS', 'the Nobel Institute for Neurophysiology', 'the Karolinska Institute', 'the Academia Europaeae', 'Royal Swedish Academy of Science', 'National Academy of Science', 'Institute of Medicine', 'the Nobel Assembly', 'Karolinska Institutet', 'the Bristol Myers Squibb', 'Society for Neuroscience']"
David Altshuler,['2014-05-30'],[],"['Global Research', 'Vertex Pharmaceuticals', 'Vertex', 'the Broad Institute of Harvard', 'MIT', 'Harvard Medical School', 'the Department of Biology', 'Massachusetts Institute of Technology', 'the Department of Molecular Biology, Center for Human Genetic Research', 'Massachusetts General Hospital', 'the Broad Institute', 'Institute', 'the Program in Medical and Population Genetics']",[],"['Global Research', 'Vertex Pharmaceuticals', 'Vertex', 'the Broad Institute of Harvard', 'MIT', 'Harvard Medical School', 'the Department of Biology', 'Massachusetts Institute of Technology', 'the Department of Molecular Biology, Center for Human Genetic Research', 'Massachusetts General Hospital', 'the Broad Institute', 'Institute', 'the Program in Medical and Population Genetics']"
Muhammad Yar Khuhawar,['2050-05-30'],"['USA', 'Pakistan', 'Indus', 'UK', 'United Kingdom', 'Pakistan']","['Izaz‐e‐kamal', 'Sitara-i-Imtiaz', 'the University of Sindh', 'Institute of Advanced Research Studies', 'Chemical Sciences', 'University of Sindh', 'Schiff', 'Birmingham University', 'University of Birmingham', 'National and International Journals']",[],"['Izaz‐e‐kamal', 'Sitara-i-Imtiaz', 'the University of Sindh', 'Institute of Advanced Research Studies', 'Chemical Sciences', 'University of Sindh', 'Schiff', 'Birmingham University', 'University of Birmingham', 'National and International Journals']"
Amos Smith,['1944-08-26'],[],"['the Monell Chemical Senses Center', 'the Rhodes-Thompson Professorship of Chemistry', ""the University of Pennsylvania's"", 'Department of Chemistry', 'the American Academy of Arts and Sciences', 'the ESPCI ParisTech Scientific Council', ""the Royal Society of Chemistry's""]",[],"['the Monell Chemical Senses Center', 'the Rhodes-Thompson Professorship of Chemistry', ""the University of Pennsylvania's"", 'Department of Chemistry', 'the American Academy of Arts and Sciences', 'the ESPCI ParisTech Scientific Council', ""the Royal Society of Chemistry's""]"
Andre Geim,['1958-10-21'],[],"['FRS', 'HonFRSC', 'the School of Physics', 'the University of Manchester', 'Konstantin Novoselov', 'Royal Society Research']",[],"['FRS', 'HonFRSC', 'the School of Physics', 'the University of Manchester', 'Konstantin Novoselov', 'Royal Society Research']"
John B. Whitehead,['1872-08-18'],"['Norfolk', 'Virginia', 'Baltimore', 'Maryland']","['Johns Hopkins University', 'the School of Engineering', 'the American Institute of Electrical Engineers']",[],"['Johns Hopkins University', 'the School of Engineering', 'the American Institute of Electrical Engineers']"
Richard Axel,['1946-07-02'],[],"['the Department of Neuroscience', 'Columbia University', 'the Howard Hughes Medical Institute']",[],"['the Department of Neuroscience', 'Columbia University', 'the Howard Hughes Medical Institute']"
Noam Nisan,['1961-06-20'],[],['the Hebrew University of Jerusalem'],[],['the Hebrew University of Jerusalem']
Howard Harry Rosenbrock,['1920-12-16'],"['Ilford', 'England', 'IChemE']","['University College London', 'the Royal Air Force', 'London University', 'Cambridge University', 'MIT', 'the University of Manchester Institute of Science and Technology', 'the Control Systems Centre', 'the IEE Premium', 'the IEE Control Achievement Award', 'IEE', 'the Institute of Measurement and Control', 'the Royal Academy of Engineering', 'the Royal Society']",[],"['University College London', 'the Royal Air Force', 'London University', 'Cambridge University', 'MIT', 'the University of Manchester Institute of Science and Technology', 'the Control Systems Centre', 'the IEE Premium', 'the IEE Control Achievement Award', 'IEE', 'the Institute of Measurement and Control', 'the Royal Academy of Engineering', 'the Royal Society']"
